,f,c,正面,側面,斜面,高い,低い,近い,遠い,直線,曲線,森林,駅,畑,鉄橋,踏切,車両,,,,,,
2016/1/29,64,1,,,1,,1,1,,,1,,,1,,1,165,,,,,,
2016/1/27,70,2,,,1,,1,,1,1,,,1,,,,ef66,fre,,,,,
2016/1/26,70,2,,1,,1,,1,,1,,1,,,,1,113y,,,,,,
2016/1/24,86,,1,,,1,,1,,1,,,,,1,,113,,,,,,
2016/1/21,88,2,,,1,,1,1,,1,,,1,,,,dc82,,,,,,
2016/1/19,70,,,,1,,1,1,,1,,,1,,,,113,,,,,,
2016/1/17,89,1,,,1,1,,,1,1,,,1,,1,,165,,,,,,
2016/1/15,104,1,1,,,1,,1,,1,,,1,,,,115,,,,,,
2016/1/13,97,1,,,1,1,,,1,1,,1,,,,,113,,,,,,
2016/1/11,76,,,,1,1,,1,,1,,,1,,,,iida,dc82,,,,,
2016/1/9,78,,,1,,,1,1,,1,,,,,,,113y,,,,,,
2016/1/7,98,1,1,,,1,,,1,1,,,1,,1,,113y,,,,,,
2016/1/5,83,1,1,,,,1,1,,,1,,,,,,dc82,,,,,,
2016/1/3,116,1,,,1,1,,,1,1,,,1,,,,iida,,,,,,
2016/1/1,81,1,,,1,1,,,1,1,,1,,,,,113y,,,,,,
2015/12/30,97,1,,,1,,1,1,,,1,,,1,,1,dc82,,,,,,
2015/12/28,90,,,,1,1,,1,,1,,,1,,,,403,457,dc82,,,,
2015/12/26,71,1,,,1,1,,,1,1,,1,,,,,dc82,,,,,,
2015/12/23,61,,,,1,,1,1,,,1,,,,,,14,,,,,,
2015/12/21,88,,1,,,1,,1,,1,,,1,,,,457,dc82,,,,,
2015/12/18,78,2,1,,,,1,1,,1,,,1,,,,dc82,,,,,,
2015/12/16,67,,1,,,,1,1,,1,,,1,,,,nimotu,14,,,,,
2015/12/13,73,,,,1,,1,1,,1,,,1,,,,165,,,,,,
2015/12/11,49,,,,1,,1,1,,1,,,,,,,ef65,fre,,,,,
2015/12/9,62,,,,1,,1,1,,1,,,,,1,,dd51,14,,,,,
2015/12/7,73,,,,1,1,,1,,,1,,1,,,,dc52,dc58,,,,,
2015/12/5,49,,,,1,,1,1,,1,,,,,1,,use,,,,,,
2015/12/3,75,,,,1,1,,1,,1,,1,,,,1,dd51,14,,,,,
2015/12/1,84,,,,1,1,,1,,1,,,,,1,,ef65pf,,,,,,
2015/11/19,58,1,,,1,,1,1,,1,,,,,1,,dc58,dc52,,,,,
2015/11/28,69,1,,,1,,1,1,,1,,,1,,,,14,,,,,,
2015/11/26,43,1,,1,,,1,,1,,1,,,1,,1,dc52,dc58,,,,,
2015/11/24,64,,,,1,1,,,1,1,,,1,,,,nse,,,,,,
2015/11/22,59,,,,1,,1,1,,,1,,,,,,dc52,dc58,,,,,
2015/11/20,90,1,1,,,,1,1,,1,,,1,,,,dd51,dd51,dc30,,,,
2015/11/18,57,,,,1,,1,1,,,1,,,,,,nse,,,,,,
2015/11/16,72,1,,,1,1,,,1,1,,1,,,,,ef63,ef62,10,,,,
2015/11/14,60,,1,,,,1,1,,1,,,,,1,,455,,,,,,
2015/11/11,57,,,,1,1,,,1,,1,,1,,,,nse,,,,,,
2015/11/9,44,,,,1,,1,1,,1,,,1,,,,nse,,,,,,
2015/11/7,53,,,1,,1,,,1,,1,,1,1,,,nse,,,,,,
2015/11/5,43,,,,1,,1,,1,1,,1,,,,,nse,,,,,,
2015/11/3,51,1,1,,,1,,,1,1,,1,,,,1,nse,,,,,,
2015/11/1,59,,,,1,1,,,1,1,,,1,,,,nse,,,,,,
2015/10/31,50,,1,,,1,,1,,1,,,1,,,,ef65,fre,,,,,
2015/10/29,40,,1,,,,1,1,,1,,,1,,,,ef65,fre,,,,,
2015/10/27,45,,,1,,,1,1,,,1,,,,,1,ef65,,,,,,
2015/10/25,36,,,,1,,1,1,,1,,1,,,,1,ef65,fre,,,,,
2015/10/23,49,,,,1,,1,1,,1,,,,,1,,de10,fre,,,,,
2015/10/22,47,,1,,,,1,1,,1,,,1,,,,de10,fre,,,,,
2015/10/20,44,,,1,,,1,,1,,1,,,,,1,dc52,,,,,,
2015/10/19,73,,1,,,1,,,1,1,,,1,,,,de10,fre,,,,,
2015/10/17,37,,,1,,1,,,1,,1,,,1,,1,de10,fre,,,,,
2015/10/15,53,,,,1,1,,,1,1,,1,,,,,de10,fre,,,,,
2015/10/14,36,1,,,1,1,,,1,1,,,,,1,,de10,fre,,,,,
2015/9/17,53,,,,1,,1,1,,1,,,1,,,,ef62,fre,,,,,
2015/9/15,43,,,,1,,1,1,,1,,,1,,,,dd51,,,,,,
2015/9/14,41,,,,1,,1,1,,1,,1,,,,,ef62,fre,,,,,
2015/9/13,44,,,1,,,1,1,,1,,1,,,,1,ef62,,,,,,
2015/9/10,37,,,,1,,1,,1,,1,,,,1,,ed78,fre,,,,,
2015/9/10,30,,,1,,,1,1,,1,,,,,1,,ed78,fre,,,,,
2015/9/8,45,1,,,1,,1,1,,1,,1,,,,1,d51,fre,,,,,
2015/9/7,43,,,,1,,1,1,,,1,,,,,,fre,,,,,,
2015/9/6,50,1,,1,,1,,,1,,1,,,1,,1,d51,fre,,,,,
2015/9/5,32,1,,1,,,1,1,,1,,,,,,,fre,,,,,,
2015/9/4,60,,,,1,,1,,1,1,,,1,,,,d51,fre,,,,,
2015/8/4,54,,,,1,,1,1,,1,,1,,,,,ef63,165,,,,,
2015/7/30,52,,,,1,,1,1,,1,,,1,,,,ef65pf,,,,,,
2015/7/30,53,,,,1,1,,1,,,1,,,,,,485,,,,,,
2015/7/25,45,,,,1,,1,1,,1,,,,,1,,165,,,,,,
2015/7/24,51,1,,,1,,1,1,,1,,1,,,,,ef63,485,,,,,
2015/7/22,57,,,,1,1,,1,,1,,,1,,,,ed75,10,old_pc,,,,
2015/7/21,64,,,,1,1,,1,,,1,,,,,,dc72,,,,,,
2015/7/18,56,,,,1,1,,,1,,1,,,1,,1,df50,24,,,,,
2015/7/17,53,1,,,1,,1,1,,1,,,,,1,,ef15,fre,153,,,,
2015/7/16,35,,,,1,,1,1,,1,,1,,,,,113,,,,,,
2015/7/16,55,,,,1,1,,,1,,1,,,,,,ef15,fre,dd13,fre,,,
2015/7/15,41,,,,1,,1,1,,,1,,,,,,df50,24,,,,,
2015/7/13,57,1,,,1,1,,,1,1,,1,,,,,df50,24,,,,,
2015/7/12,37,,,,1,,1,1,,1,,,1,,,,ed76,24,,,,,
2015/7/11,51,,,,1,1,,1,,1,,,1,,,,ed76,24,,,,,
2015/7/11,38,,,,1,,1,1,,1,,,1,,,,24,dd51,,,,,
2015/7/9,38,,,,1,,1,1,,1,,,,,,,ed76,24,,,,,
2015/7/8,48,1,,,1,,1,1,,,1,,,,,,ed76,24,,,,,
2015/7/7,43,2,1,,,,1,1,,1,,,1,,,,24,,,,,,
2015/7/6,52,,,,1,,1,1,,1,,,,,1,,ef66,,,,,,
2015/7/6,47,1,,,1,,1,1,,1,,1,,,,,183,,,,,,
2015/7/5,44,,,1,,,1,1,,1,,,1,,,,dc30,,,,,,
2015/7/4,50,,1,,,,1,1,,1,,,1,,,,dd13,fre,,,,,
2015/7/2,49,,,,1,1,,,1,,1,,,,1,,583,ed75,24,,,,
2015/7/1,46,,,,1,1,,1,,1,,,,,1,,113,,,,,,
2015/7/1,31,,,,1,1,,1,,1,,,,,,,de10,dc82,,,,,
2015/6/30,47,2,,1,,,1,1,,1,,,,,1,,df50,old_pc,,,,,
2015/6/29,73,,,,1,1,,1,,1,,,1,,,,ef81,10,dc30,,,,
2015/6/28,53,,,,1,1,,1,,1,,1,,,,,ef65pf,14,,,,,
2015/6/27,37,1,,,1,,1,1,,1,,,1,,,,157,,,,,,
2015/6/26,42,,,,1,1,,1,,1,,1,,,,,dc58,,,,,,
2015/6/24,52,,,,1,,1,1,,,1,,,,,1,583,24,,,,,
2015/6/23,49,,,,1,,1,1,,1,,,1,,,,ef65pf,24,,,,,
2015/6/22,56,,1,,,,1,1,,1,,,1,,,,df50,old_pc,,,,,
2015/6/21,60,,1,,,1,,,1,,1,,,1,,1,dd51,old_pc,,,,,
2015/6/20,70,,,,1,,1,1,,1,,,,,1,,583,,,,,,
2015/6/19,70,,,,1,1,,,1,1,,,1,,,,457,dd51,fre,,,,
2015/6/18,56,,1,,,,1,1,,1,,,1,,,,ef80,24,,,,,
2015/6/17,56,,,,1,1,,1,,,1,,,,,,183,,,,,,
2015/6/17,47,,1,,,,1,1,,1,,1,,,,1,ef58,old_pc,,,,,
2015/6/13,36,2,,,1,,1,1,,,1,,,,,,115,,,,,,
2015/6/12,41,,,1,,,1,1,,1,,,1,,,,115,,,,,,
2015/6/11,48,,,,1,,1,1,,1,,1,,,,1,115,,,,,,
2015/6/9,50,,,,1,,1,,1,,1,,,1,,,115,,,,,,
2015/6/8,43,,,1,,,1,1,,1,,,1,,,,115,,,,,,
2015/6/6,48,,,,1,1,,1,,1,,,1,,,,115,115,,,,,
2015/6/5,38,1,,,1,1,,,1,1,,,1,,,,115,115,,,,,
2015/6/4,56,,1,,,1,,,1,1,,,1,,,,115,115,115,,,,
2015/6/3,47,,1,,,1,,1,,,1,,,,,,ef80,nimotu,,,,,
2015/6/2,48,,,,1,1,,,1,1,,1,,,,1,115,,,,,,
2015/6/1,51,,,1,,,1,1,,1,,,1,,,,115,115,115,,,,
2015/5/30,44,,,1,,1,,1,,1,,,1,,,,ef64,115,ef64,fre,,,
2015/5/28,38,1,,,1,,1,1,,1,,,1,,,,ef80,old_pc,,,,,
2015/5/28,51,,,,1,1,,,1,1,,,1,,,,115,old_pc,ef64,,,,
2015/5/27,39,,,,1,,1,1,,1,,1,,,,1,ef64,old_pc,115,,,,
2015/5/26,50,1,,,1,,1,,1,1,,1,,,,,ef80,old_pc,,,,,
2015/5/25,47,,,,1,,1,1,,1,,,,,,,ed78,fre,,,,,
